name;objective value;method;time;nodes;DCs;INGCs;Nodes_pruned;Neighbour_nodes_pruned
moore90;-22.0;Both;0.5348210334777832;10;5;1;2;0
moore90;-22.0;Both;0.7052872180938721;9;2;1;1;0
moore90;-22.0;Both;0.27693915367126465;9;1;1;2;0
miblp_20_20_50_0110_5_5;-392.0;INGC+DC;8.144325733184814;101;6;1;4;0
miblp_20_20_50_0110_5_5;-392.0;INGC+DC;7.531595945358276;99;6;1;2;0
miblp_20_20_50_0110_5_5;-392.0;INGC+DC;7.871221542358398;99;6;1;2;0
miblp_20_20_50_0110_5_5;-392.0;INGC+DC;8.033503532409668;99;6;1;2;0
miblp_20_20_50_0110_5_5;-392.0;INGC+DC;11.238946437835693;132;7;1;8;0
moore90;-22.0;INGC+DC;0.2660815715789795;9;1;1;2;0
moore90;-22.0;INGC+DC;0.29147815704345703;9;2;1;1;0
moore90;-22.0;INGC+DC;0.3087618350982666;9;2;1;1;0
moore90;Internal error: all;INGC+DC;0.06382226943969727;0;0;0;0;0
moore90;-22.0;INGC+DC;0.3195483684539795;9;2;1;1;0
