name;objective value;method;neighbour_node_pruning;smart_dc_verification;solve_cvp_globally;nodes;time;idealized_time;DCs;INGCs;Nr_total_CVPs;Nodes_pruned;Neighbour_nodes_pruned;cb_time;node_info_time;modify_cut_list_time;subproblems_time;ll_model_time;ll_modify_time;ll_solve_time;scoop_model_time;scoop_modify_time;scoop_solve_time;cgp_model_time;cgp_solve_time;cvp_model_time;cvp_modify_time;cvp_solve_time;rel_mip_gap;total_time_CVPs;idealized_time_CVPs;best_upper_bound;nr_UL_vars;nr_LL_vars;nr_UL_cnstrs;nr_LL_cnstrs;min_UL_obj_coeff;max_UL_obj_coeff;min_LL_obj_coeff;max_LL_obj_coeff;Q_eig_min;Q_eig_max;P_eig_min;P_eig_max
miblp_20_20_50_0110_5_20;-433.0;INGC+DC;False;False;True;1248;32.7148962020874;20.78740167617798;15;0;11109;479;0;32.370593547821045;1.870481252670288;0.019957780838012695;24.983771085739136;0.013326168060302734;0.5540273189544678;1.8325371742248535;0.011756420135498047;1.2267096042633057;1.7009398937225342;2.8079416751861572;1.1628575325012207;0.018027782440185547;1.7125988006591797;13.94304871559143;0.0;13.937749147415161;2.0102546215057373;-433.0;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: 'NoneType' object has no attribute 'rhs';INGC+DC;False;False;True;0;0.07062625885009766;0.07062625885009766;0;0;0;0;0;0;0.004549264907836914;4.291534423828125e-06;0.04138803482055664;0.014907360076904297;0.0014643669128417969;0.00499272346496582;0.013527870178222656;0;0;0;0;0.00649571418762207;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;time limit exceeded;INGC+DC;False;False;True;884;9374.917061805725;9364.469013214111;30;0;8631;335;0;9374.622310876846;1.5382072925567627;0.016728878021240234;9367.797779083252;0.013261556625366211;0.47521185874938965;1.5767090320587158;0.012389183044433594;0.9476287364959717;9347.526204824448;2.4813997745513916;1.0753352642059326;0.01715373992919922;1.478724479675293;12.193760633468628;0.20271020448740637;12.18910002708435;1.741051435470581;-515.9626777251176;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;False;True;0;0.09000468254089355;0.09000468254089355;0;0;0;0;0;0;0.004784584045410156;5.245208740234375e-06;0.05323195457458496;0.016735076904296875;0.0016100406646728516;0.005379199981689453;0.018296241760253906;0;0;0;0;0.011211395263671875;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;False;True;0;0.1703484058380127;0.1703484058380127;0;0;0;0;0;0;0.00447392463684082;3.814697265625e-06;0.14069557189941406;0.01501607894897461;0.0014677047729492188;0.0050928592681884766;0.016237497329711914;0.0028984546661376953;0.09354472160339355;0;0;0.006438255310058594;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;False;True;0;0.17332220077514648;0.17332220077514648;0;0;0;0;0;0;0.004675149917602539;4.0531158447265625e-06;0.1422591209411621;0.014570474624633789;0.0015263557434082031;0.005410432815551758;0.015487909317016602;0.0028395652770996094;0.09299230575561523;0;0;0.009432077407836914;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;False;True;0;0.20389151573181152;0.20389151573181152;0;0;0;0;0;0;0.007323741912841797;7.152557373046875e-06;0.16762471199035645;0.016742944717407227;0.001516103744506836;0.0053005218505859375;0.01902484893798828;0.003086090087890625;0.11554312705993652;0;0;0.006411075592041016;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;False;True;0;0.16382646560668945;0.16382646560668945;0;0;0;0;0;0;0.004789113998413086;4.291534423828125e-06;0.132643461227417;0.014153242111206055;0.0015037059783935547;0.0051648616790771484;0.01467442512512207;0.003122091293334961;0.0844717025756836;0;0;0.00955343246459961;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;aborted;INGC+DC;False;False;True;38;2.7936697006225586;2.2692947387695312;2;0;420;13;0;2.717427968978882;0.06044459342956543;0.0005810260772705078;2.495288133621216;0.019528627395629883;0.018509864807128906;0.06353378295898438;0.015478134155273438;0.035880327224731445;1.471405267715454;0.10806059837341309;0.060353755950927734;0.0065152645111083984;0.06669330596923828;0.6293292045593262;0.28990669431272154;0.6291401386260986;0.10476517677307129;-515.9626777251176;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: Model<docplex_model3> did not solve successfully;INGC+DC;False;False;True;0;2.926671266555786;2.396294593811035;2;0;420;13;0;2.7856125831604004;0.06301736831665039;0.0005321502685546875;2.621993064880371;0.014020681381225586;0.019283294677734375;0.06925821304321289;0.014764547348022461;0.040016889572143555;1.5240020751953125;0.15307927131652832;0.0682988166809082;0.009420394897460938;0.06982135772705078;0.6400275230407715;nan;0.6398422718048096;0.1094655990600586;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: Model<docplex_model3> did not solve successfully;INGC+DC;False;False;True;0;3.5965054035186768;2.9297499656677246;4;0;546;14;0;3.4186668395996094;0.0787954330444336;0.0008497238159179688;3.2367630004882812;0.014749526977539062;0.022208452224731445;0.08016180992126465;0.014542579650878906;0.04611992835998535;1.8948817253112793;0.1802501678466797;0.08551287651062012;0.009662151336669922;0.08789968490600586;0.800774097442627;nan;0.8005146980285645;0.1337592601776123;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;False;True;0;0.17318987846374512;0.17318987846374512;0;0;0;0;0;0;0.004738569259643555;3.337860107421875e-06;0.14009594917297363;0.014971733093261719;0.001626729965209961;0.00611424446105957;0.014954566955566406;0.0031540393829345703;0.08954858779907227;0;0;0.00972604751586914;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: Model<docplex_model6> has not been solved yet;INGC+DC;False;False;True;0;0.20651650428771973;0.20651650428771973;0;0;0;0;0;0;0.004802703857421875;5.0067901611328125e-06;0.17467832565307617;0.01613450050354004;0.0019648075103759766;0.007864713668823242;0.01682138442993164;0.0029947757720947266;0.12205910682678223;0;0;0.00683903694152832;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;aborted;INGC+DC;False;False;True;61;8.544837951660156;7.5855443477630615;6;0;735;18;0;8.463579893112183;0.09952044486999512;0.0016527175903320312;8.029083967208862;0.016203880310058594;0.029697418212890625;0.10112476348876953;0.01598525047302246;0.06208682060241699;6.141867637634277;0.19971466064453125;0.11321139335632324;0.006493806838989258;0.1334826946258545;1.2092156410217285;0.28990669431272154;1.2088069915771484;0.2495133876800537;-515.9626777251176;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;False;True;0;0.2108774185180664;0.2108774185180664;0;0;0;0;0;0;0.005676984786987305;4.0531158447265625e-06;0.05129528045654297;0.01630878448486328;0.0015463829040527344;0.005836963653564453;0.014674186706542969;0.0029458999633789062;0;0;0;0.009983062744140625;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;False;True;0;0.30873632431030273;0.30873632431030273;0;0;0;0;0;0;0.008373737335205078;4.5299530029296875e-06;0.04866480827331543;0.015637636184692383;0.0015451908111572266;0.005415201187133789;0.016254425048828125;0.003278493881225586;0;0;0;0.00653386116027832;0;0;nan;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
