name;objective value;method;smart_dc_verification;solve_cvp_globally;hyperplane_norm;time;cb_time;node_info_time;modify_cut_list_time;subproblems_time;ll_model_time;ll_cnstrs_time;ll_solve_time;scoop_model_time;scoop_solve_time;cgp_model_time;cgp_solve_time;cvp_model_time;cvp_cnstrs_time;cvp_solve_time;rel_mip_gap;nodes;DCs;INGCs;Nr_total_CVPs;total_time_CVPs;idealized_time_CVPs;Nodes_pruned;Neighbour_nodes_pruned;best_upper_bound;nr_UL_vars;nr_LL_vars;nr_UL_cnstrs;nr_LL_cnstrs;min_UL_obj_coeff;max_UL_obj_coeff;min_LL_obj_coeff;max_LL_obj_coeff;Q_eig_min;Q_eig_max;P_eig_min;P_eig_max
miblp_20_20_50_0110_10_2;-551.0;INGC+DC;False;True;1;643.5874965190887;642.7631738185883;3.772387742996216;0.03569674491882324;600.9610900878906;57.10913562774658;54.20836400985718;112.28466176986694;35.52919292449951;102.99037885665894;5.909587860107422;2.5856869220733643;179.9799256324768;173.9556200504303;104.57252049446106;0.0;3406;44;11;19639;104.56224870681763;6.404744863510132;885;0;-551.0;10;10;0;20;-49.0;49.0;-37;33;0.34297852798892975;83.03787606777257;0.0007168339995580601;107.76337436063451
miblp_20_20_50_0110_10_2;-551.0;INGC;False;True;1;3792.6342055797577;3783.643741130829;70.61289262771606;2.7898058891296387;3448.300501346588;1114.862737417221;1061.8667268753052;2333.437763929367;0;0;0;0;0;0;0;0.0;26448;0;16180;0;0;0;0;0;-551.0;10;10;0;20;-49.0;49.0;-37;33;0.34297852798892975;83.03787606777257;0.0007168339995580601;107.76337436063451
miblp_20_20_50_0110_5_20;-436.0;INGC;False;True;1;1130.0907287597656;1125.0934841632843;51.33483934402466;2.10738468170166;844.633552312851;789.9248430728912;772.6995258331299;54.70870923995972;0;0;0;0;0;0;0;0.0;15426;0;12715;0;0;0;0;0;-436.0;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;-436.0;INGC;False;True;1;1084.178879737854;1079.1265470981598;52.36408734321594;2.150692939758301;819.1372663974762;763.8199877738953;746.8185274600983;55.31727862358093;0;0;0;0;0;0;0;0.0;15426;0;12715;0;0;0;0;0;-436.0;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;-436.0;INGC+DC;False;True;1;209.5302290916443;209.25550723075867;1.5432145595550537;0.017208337783813477;189.13904571533203;23.649972677230835;23.15072727203369;1.7415556907653809;9.791611194610596;1.2901623249053955;2.8546829223632812;1.3548071384429932;84.7308361530304;81.48493385314941;63.725417613983154;0.0;1080;28;0;9054;63.72028732299805;4.31386399269104;395;0;-436.0;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;True;1;0.11105680465698242;0;0.0037386417388916016;2.1457672119140625e-06;0.060311079025268555;0.055428504943847656;0.05425119400024414;0.0048825740814208984;0;0;0;0;0;0;0;nan;0;0;0;0;0;0;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;aborted;INGC+DC;False;True;1;2.877249240875244;2.8516957759857178;0.02364635467529297;0.00014591217041015625;2.583921194076538;0.3428456783294678;0.33573174476623535;0.02781224250793457;0.153975248336792;0.018369197845458984;0.03815412521362305;0.013949871063232422;1.0629796981811523;1.0229499340057373;0.925835132598877;0.48265137277318776;18;0;0;126;0.9257760047912598;0.0522007942199707;6;0;-515.9626777251176;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;True;1;0.15654540061950684;0;0.003972291946411133;2.384185791015625e-06;0.07829046249389648;0.07311582565307617;0.07149958610534668;0.0051746368408203125;0;0;0;0;0;0;0;nan;0;0;0;0;0;0;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;Internal error: name 'err' is not defined;INGC+DC;False;True;1;0.13619089126586914;0;0.0037326812744140625;3.0994415283203125e-06;0.060295820236206055;0.05565214157104492;0.0544891357421875;0.004643678665161133;0;0;0;0;0;0;0;nan;0;0;0;0;0;0;0;0;nan;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
miblp_20_20_50_0110_5_20;-436.0;INGC+DC;False;True;1;211.3158574104309;211.0412802696228;1.5772762298583984;0.018137216567993164;189.52783131599426;24.4559805393219;23.947518587112427;1.7853751182556152;10.429137229919434;1.3617944717407227;3.030834436416626;1.4279520511627197;83.70326137542725;80.31308460235596;63.33349609375;0.0;1080;28;0;9054;63.32785439491272;4.23195743560791;395;0;-436.0;15;5;0;20;-49.0;48.0;-36;28;0.18368202463239852;36.99686677732965;0.8376428967354452;19.685112735093256
