name;objective value;method;neighbour_node_pruning;smart_dc_verification;solve_cvp_globally;nodes;time;idealized_time;DCs;INGCs;Nr_total_CVPs;Nodes_pruned;Neighbour_nodes_pruned;cb_time;node_info_time;modify_cut_list_time;subproblems_time;ll_model_time;ll_modify_time;ll_solve_time;scoop_model_time;scoop_modify_time;scoop_solve_time;cgp_model_time;cgp_solve_time;cvp_model_time;cvp_modify_time;cvp_solve_time;NNP_time;rel_mip_gap;total_time_CVPs;idealized_time_CVPs;nr_refinements;best_upper_bound;nr_UL_vars;nr_LL_vars;nr_UL_cnstrs;nr_LL_cnstrs;min_UL_obj_coeff;max_UL_obj_coeff;min_LL_obj_coeff;max_LL_obj_coeff;Q_eig_min;Q_eig_max;P_eig_min;P_eig_max
miblp_20_15_50_0110_10_1;-277.0;INGC+DC;False;False;True;119;2.88576340675354;2.512920618057251;4;0;357;1;0;2.2977097034454346;0.02027106285095215;0.00014448165893554688;2.2513864040374756;0.01587080955505371;0.04238462448120117;0.5638313293457031;0.015031814575195312;0.0648050308227539;0.9479391574859619;0.06256914138793945;0.06188631057739258;0.002765178680419922;0.02933478355407715;0.44496822357177734;0;0.0;0.44484853744506836;0.0720057487487793;0;-276.9999999950851;5;10;0;20;-41.0;49.0;-44;22;0.0013119225593189539;131.50342287039203;[0.1158135894379837, 0.003265808185331953, 0.005120043209436725, 1.1346027233852611, 0.0015318990885335058];[128.62657997239342, 55.09626832236344, 66.46678390030533, 73.18900148070912, 79.36998603449715]
miblp_20_20_50_0110_5_13;-519.0;INGC+DC;False;False;True;298;2.188185691833496;1.763141393661499;3;1;420;13;0;1.3467211723327637;0.151961088180542;0.0008845329284667969;1.021742582321167;0.014830589294433594;0.06009507179260254;0.08404231071472168;0.014995813369750977;0.0805654525756836;0.04684758186340332;0.10054945945739746;0.05219888687133789;0.003561735153198242;0.06461930274963379;0.4994363784790039;0;0.0;0.49926066398620605;0.07421636581420898;0;-519.0;15;5;0;20;-48.0;49.0;-31;22;0.5226367916792594;44.222215465609146;[0.043450108446424426, 0.7592324386752598, 1.079831506626604, 0.06440375672432354, 0.0011098618852483184];[36.612512538609444, 40.558237624181885, 52.08111223362101, 38.66034343328528, 28.661661980099968]
miblp_20_20_50_0110_5_13;-519.0;INGC;False;False;True;332;1.45815110206604;1.45815110206604;0;43;0;0;0;0.5953869819641113;0.17194461822509766;0.004229307174682617;0.30719423294067383;0.01526951789855957;0.12045907974243164;0.17146563529968262;0;0;0;0;0;0;0;0;0;0.0;0;0;0;-519.0;15;5;0;20;-48.0;49.0;-31;22;0.5226367916792594;44.222215465609146;[0.043450108446424426, 0.7592324386752598, 1.079831506626604, 0.06440375672432354, 0.0011098618852483184];[36.612512538609444, 40.558237624181885, 52.08111223362101, 38.66034343328528, 28.661661980099968]
miblp_20_20_50_0110_5_5;-392.0;INGC;False;False;True;73;0.3584411144256592;0.3584411144256592;0;0;0;0;0;0.03743386268615723;0.015730619430541992;1.3828277587890625e-05;0.03461933135986328;0.014801263809204102;0.010621786117553711;0.009196281433105469;0;0;0;0;0;0;0;0;0;0.0;0;0;0;-391.99999999992156;15;5;0;20;-44.0;46.0;-40;44;1.835160482789144e-15;72.86614862487554;[0.3249518298765975, 1.5250632072846282, 0.011533265883781549, 3.5313314337450882e-15, 0.20639976489364445];[38.15892856357957, 58.16832141432419, 24.574486545281484, 40.204450023411994, 31.460137168829853]
miblp_20_20_50_0110_5_5;-392.0;INGC+DC;False;False;True;73;0.3738279342651367;0.3738279342651367;0;0;0;0;0;0.036879539489746094;0.015206098556518555;1.1682510375976562e-05;0.05158066749572754;0.014190435409545898;0.010632038116455078;0.009133338928222656;0.014024496078491211;0;0;0;0;0.0036003589630126953;0;0;0;0.0;0;0;0;-391.99999999992156;15;5;0;20;-44.0;46.0;-40;44;1.835160482789144e-15;72.86614862487554;[0.3249518298765975, 1.5250632072846282, 0.011533265883781549, 3.5313314337450882e-15, 0.20639976489364445];[38.15892856357957, 58.16832141432419, 24.574486545281484, 40.204450023411994, 31.460137168829853]
miblp_20_20_50_0110_5_5;-392.0;INGC+DC;False;False;True;32;0.40242552757263184;0.27933168411254883;1;0;105;0;0;0.24013495445251465;0.007918357849121094;2.9802322387695312e-05;0.2574152946472168;0.013964414596557617;0.002319812774658203;0.004400968551635742;0.019690990447998047;0.0018863677978515625;0.004436969757080078;0.026345252990722656;0.025986909866333008;0.003603219985961914;0.014971494674682617;0.13980889320373535;0;0.0;0.13977503776550293;0.016681194305419922;0;-391.9999999997724;15;5;0;20;-44.0;46.0;-40;44;1.835160482789144e-15;72.86614862487554;[0.3249518298765975];[38.15892856357957]
miblp_20_20_50_0110_15_8;-308.0;INGC+DC;False;False;True;140878;6325.153620958328;5964.503395318985;102;57;340137;15914;0;5537.3433701992035;60.53810715675354;0.49341392517089844;5286.94419836998;0.014616250991821289;177.45069766044617;4009.657337665558;0.012215375900268555;426.7554883956909;83.46562361717224;80.53245973587036;33.41349649429321;0.006226539611816406;53.57095670700073;422.06507992744446;0;0.0;421.9243767261505;61.27415108680725;0;-308.0;5;15;0;20;-46.0;49.0;-39;46;0.2969980217479411;139.8205718505581;[0.18203078494969177, 0.16507550877898033, 0.121151749967008, 0.10855073111959797, 0.4305505755509875];[175.0508875334388, 100.05123616107831, 129.82247639086933, 175.05220394285809, 129.8674561096516]
miblp_20_20_50_0110_15_8;-308.0;INGC;False;False;True;161927;10146.174846410751;10146.174846410751;0;36054;0;0;0;9491.893751859665;131.24586653709412;3.6471078395843506;9250.522290706635;0.014617681503295898;403.4616889953613;8847.04598402977;0;0;0;0;0;0;0;0;0;0.0;0;0;0;-308.0;5;15;0;20;-46.0;49.0;-39;46;0.2969980217479411;139.8205718505581;[0.18203078494969177, 0.16507550877898033, 0.121151749967008, 0.10855073111959797, 0.4305505755509875];[175.0508875334388, 100.05123616107831, 129.82247639086933, 175.05220394285809, 129.8674561096516]
