name;objective value;method;solve_qp_relax;neighbour_node_pruning;smart_dc_verification;solve_cvp_globally;nodes;time;idealized_time;DCs;INGCs;Nr_total_CVPs;Nodes_pruned;Neighbour_nodes_pruned;cb_time;node_info_time;modify_cut_list_time;subproblems_time;ll_model_time;ll_modify_time;ll_solve_time;scoop_model_time;scoop_modify_time;scoop_solve_time;cgp_model_time;cgp_solve_time;cvp_model_time;cvp_modify_time;cvp_solve_time;NNP_time;rel_mip_gap;total_time_CVPs;idealized_time_CVPs;nr_refinements;best_upper_bound;nr_UL_vars;nr_LL_vars;nr_UL_cnstrs;nr_LL_cnstrs;min_UL_obj_coeff;max_UL_obj_coeff;min_LL_obj_coeff;max_LL_obj_coeff;Q_eig_min;Q_eig_max;P_eig_min;P_eig_max;nr_bf_sets_recycled
QuadraticMultiKnapsack-hp1-1-14-14;1768.0;B+DC;False;False;False;True;23351;1623.8238968849182;1601.4544041156769;1556;0;31946;10702;0;1618.851201057434;19.96367383003235;0.57840895652771;1401.9802222251892;0.014484643936157227;2.1856682300567627;841.0363874435425;0.01173710823059082;35.09265756607056;262.0885329246521;120.44070553779602;42.35267400741577;0.06713199615478516;30.889538764953613;67.80070400238037;0;0.0;63.57646369934082;41.20697093009949;0;1768.0;14;14;3;1;22.0;1125.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;"CPLEX Error  1210: Name not found.
";B+DC;False;False;False;True;0;0.12928009033203125;0.12928009033203125;0;0;0;0;0;0;0;0;0.10972023010253906;0.015256404876708984;0;0;0.012212038040161133;0;0;0;0;0.08225178718566895;0;0;0;nan;0;0;0;nan;14;14;3;1;22.0;1125.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-1.0;B+DC;False;False;False;True;2;0.2179262638092041;0.1821901798248291;2;0;25;0;0;0.16490697860717773;0.0010683536529541016;5.626678466796875e-05;0.13415026664733887;0.013861417770385742;0.001268625259399414;0.0068438053131103516;0.014666318893432617;0.0016107559204101562;0.006554603576660156;0.00921487808227539;0.016472816467285156;0.006028413772583008;0.003284931182861328;0.05434370040893555;0;0.0;0.05419635772705078;0.01846027374267578;0;-1.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-1.0;B+DC;False;False;False;True;2;0.23790526390075684;0.1942911148071289;2;0;25;0;0;0.18567490577697754;0.0012645721435546875;7.367134094238281e-05;0.14455175399780273;0.012993812561035156;0.001413106918334961;0.0071790218353271484;0.013296127319335938;0.001913309097290039;0.0069501399993896484;0.01111602783203125;0.01926898956298828;0.0061223506927490234;0.003776073455810547;0.06052279472351074;0;0.0;0.06037616729736328;0.01676201820373535;0;-1.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-1.0;B+DC;False;False;False;True;2;0.21282148361206055;0.17981815338134766;2;0;25;0;0;0.16133832931518555;0.0010061264038085938;5.030632019042969e-05;0.1211397647857666;0.012981891632080078;0.0012483596801757812;0.005828142166137695;0.013229846954345703;0.001575469970703125;0.006075382232666016;0.009830474853515625;0.015464544296264648;0.006014823913574219;0.0029592514038085938;0.04593157768249512;0;0.0;0.04579949378967285;0.012796163558959961;0;-1.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-1.0;B+DC;False;False;False;True;2;0.30747079849243164;0.2761659622192383;2;0;25;0;0;0.1666426658630371;0.0015120506286621094;7.43865966796875e-05;0.2124638557434082;0.017908573150634766;0.0016155242919921875;0.008565187454223633;0.0929713249206543;0.0018625259399414062;0.0075800418853759766;0.009882926940917969;0.017575740814208984;0.006695985794067383;0.0031511783599853516;0.04465484619140625;0;0.0;0.04450869560241699;0.013203859329223633;0;-1.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-1.0;B+DC;False;False;False;True;2;0.21018481254577637;0.17966938018798828;2;0;25;0;0;0.15932750701904297;0.0011126995086669922;6.008148193359375e-05;0.12057089805603027;0.013511419296264648;0.0012564659118652344;0.00620269775390625;0.013537406921386719;0.0018291473388671875;0.007242441177368164;0.010341405868530273;0.015644073486328125;0.00593256950378418;0.0027539730072021484;0.042319297790527344;0;0.0;0.04219341278076172;0.011677980422973633;0;-1.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-1.0;B+DC;False;False;False;True;1;0.17741131782531738;0.155989408493042;1;0;15;0;0;0.11283588409423828;0.0009577274322509766;4.0531158447265625e-05;0.10889720916748047;0.019725561141967773;0.001020669937133789;0.00553441047668457;0.01882147789001465;0.0011303424835205078;0.0033364295959472656;0.008066415786743164;0.01225900650024414;0.006571292877197266;0.001737356185913086;0.030694246292114258;0;0.0;0.030597686767578125;0.009175777435302734;0;-1.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-1.0;B+DC;False;False;False;True;1;0.18503785133361816;0.15828466415405273;1;0;15;0;0;0.12717151641845703;0.0010046958923339844;3.24249267578125e-05;0.10624361038208008;0.0143585205078125;0.001161813735961914;0.005617618560791016;0.014611244201660156;0.0010421276092529297;0.003473997116088867;0.00722050666809082;0.013205528259277344;0.0059888362884521484;0.002007007598876953;0.03755640983581543;0;0.0;0.037451744079589844;0.010698556900024414;0;-1.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-22.0;B+DC;False;False;False;True;1;0.2133347988128662;0.18182039260864258;2;0;25;0;0;0.1588287353515625;0.0009832382202148438;4.458427429199219e-05;0.11838126182556152;0.01455545425415039;0.0010161399841308594;0.004591941833496094;0.014750957489013672;0.0017864704132080078;0.003990888595581055;0.00878453254699707;0.015301942825317383;0.006011247634887695;0.0026938915252685547;0.04489779472351074;0;0.0;0.0448153018951416;0.013300895690917969;0;-22.0;1;1;0;4;-10;-1;1;1;0.0;0.0;0.0;0.0;0
