name,objective value,method,time,idealized_time,nodes,DCs,useless DCs,INGCs,sibling_node_pruning,smart_dc_verification,solve_cvp_globally,Nr_total_CVPs,Nodes_pruned,sibling_nodes_pruned,cb_time,node_info_time,modify_cut_list_time,subproblems_time,ll_model_time,ll_modify_time,ll_solve_time,scoop_model_time,scoop_modify_time,scoop_solve_time,cgp_model_time,cgp_solve_time,cvp_model_time,cvp_modify_time,cvp_solve_time,ref_time,time_without_ref,snp_time,rel_mip_gap,total_time_CVPs,idealized_time_CVPs,total_nr_iter_adversarial,nr_refinements,best_upper_bound,nr_UL_vars,nr_LL_vars,nr_UL_cnstrs,nr_LL_cnstrs,min_UL_obj_coeff,max_UL_obj_coeff,min_LL_obj_coeff,max_LL_obj_coeff,Q_eig_min,Q_eig_max,P_eig_min,P_eig_max,nr_bf_sets_recycled
miblp_20_20_50_0110_10_3,-618,DC+Scoop_min,4248.79856729508,3074.60821032524,144728,3932,3,3,False,False,True,1199121,40985,0,4220.47433376312,168.40779709816,2.38051605224609,3648.13677716255,0.00733709335327148,73.0377259254456,1208.90918135643,0.00655746459960938,184.894568920135,177.549545764923,217.784548521042,116.851058483124,0.0459728240966797,376.804165363312,1292.24611544609,0,4248.79856729508,0,5.76816821192805E-05,1285.48537254334,111.295015573502,57101,0,-618.03564727955,10,10,0,20,-40,49,-36,48,0.19698530549572,74.6338669187438,0.000961980629345693,92.0674841896185,0
miblp_20_20_50_0110_10_3,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7113.6653149128,708.355235815048,32.7612612247467,5782.4009103775,0.00920653343200684,317.379633665085,5465.01207017899,0,0,0,0,0,0,0,0,0,9999999999999,0,0.408196799338505,0,0,0,0,-663.260692488477,10,10,0,20,-40,49,-36,48,0.19698530549572,74.6338669187438,0.000961980629345693,92.0674841896185,0
miblp_20_20_50_0110_10_4,time limit exceeded,DC_FR,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7189.29568266869,85.9344844818115,2.91280674934387,6694.42237234116,0.00862503051757813,40.8445827960968,1154.63874006271,0.0176906585693359,0,0,229.481151819229,164.652327060699,0.0485749244689941,3230.86220526695,1873.86847472191,0,9999999999999,0,0.648254360092449,1865.77357792854,142.447331428528,53244,0,-820.830671326104,10,10,0,20,-49,43,-44,41,0.0556633581403297,91.8480640337908,0.00052227863578547,84.8333202902491,0
miblp_20_20_50_0110_10_4,time limit exceeded,DC+Scoop_min,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7138.0258204937,279.410740852356,2.81621503829956,6274.23376321793,0.00731325149536133,112.350791931152,3023.9537653923,0.0065922737121582,278.63463139534,212.548872709274,299.581702232361,155.56617307663,0.0466327667236328,401.002298593521,1790.53498959541,0,9999999999999,0,0.519634508897629,1780.60400676727,130.792919874191,80955,0,-817.563365786976,10,10,0,20,-49,43,-44,41,0.0556633581403297,91.8480640337908,0.00052227863578547,84.8333202902491,0
miblp_20_20_50_0110_10_4,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7139.90951561928,484.714271068573,21.2277095317841,6235.75713610649,0.00921964645385742,212.652841329575,6023.09507513046,0,0,0,0,0,0,0,0,0,9999999999999,0,0.648254360092449,0,0,0,0,-820.830671326104,10,10,0,20,-49,43,-44,41,0.0556633581403297,91.8480640337908,0.00052227863578547,84.8333202902491,0
miblp_20_20_50_0110_10_6,time limit exceeded,DC_FR,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7192.67489790916,73.9043521881104,3.90356373786926,6709.79839777946,0.0110704898834229,35.1956067085266,1261.83361434937,0.00966310501098633,0,0,220.556265115738,168.502111434937,0.13534426689148,3218.25108742714,1805.30363488197,0,9999999999999,0,1.38589754023944,1796.34844493866,128.935577392578,51606,0,-932.885938233761,10,10,0,20,-47,48,-48,30,5.67002120164714E-15,123.078560873995,0.119551106980719,76.7258483929734,0
miblp_20_20_50_0110_10_6,time limit exceeded,DC+Scoop_min,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7166.47621297836,227.465841770172,3.40307211875916,6477.22974991798,0.00796055793762207,100.75196647644,3844.86155486107,0.00650119781494141,249.580129384994,179.023953676224,249.127416610718,122.051729440689,0.130731105804443,288.46515583992,1443.22265076637,0,9999999999999,0,0.959844408053919,1435.19596147537,109.99142742157,57649,0,-932.885938233761,10,10,0,20,-47,48,-48,30,5.67002120164714E-15,123.078560873995,0.119551106980719,76.7258483929734,0
miblp_20_20_50_0110_10_6,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7129.44759941101,603.960674285889,31.6475553512573,5986.03724908829,0.00923562049865723,270.157279968262,5715.87073349953,0,0,0,0,0,0,0,0,0,9999999999999,0,6.70980114242223,0,0,0,0,-932.885938233761,10,10,0,20,-47,48,-48,30,5.67002120164714E-15,123.078560873995,0.119551106980719,76.7258483929734,0
miblp_20_20_50_0110_10_7,time limit exceeded,DC_FR,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7165.53658509254,176.787482500076,3.28111863136291,6568.96102118492,0.01869797706604,81.5845456123352,1318.00229024887,0.00803899765014648,0,0,222.474747419357,133.000125169754,0.0492770671844482,3092.86767792702,1720.95562076569,0,9999999999999,0,0.759065804221737,1712.78853344917,113.081375837326,53925,0,-1034.33069288246,10,10,0,20,-49,47,-30,47,0.0060927179395837,95.3955048506629,0.0558572160865371,82.5159077127389,0
miblp_20_20_50_0110_10_7,time limit exceeded,DC+Scoop_min,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7155.64901399612,240.75141453743,3.72509217262268,6316.41021561623,0.00765800476074219,100.542071580887,1494.87791466713,0.00672674179077148,250.667479515076,183.235196590424,326.637614488602,186.312408447266,0.0471339225769043,1763.24157190323,2010.83443975449,0,9999999999999,0,0.701201797503926,1999.68982100487,147.708308935165,87162,0,-1034.33069288246,10,10,0,20,-49,47,-30,47,0.0060927179395837,95.3955048506629,0.0558572160865371,82.5159077127389,0
miblp_20_20_50_0110_10_7,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7048.18917179108,654.85102391243,31.6940591335297,5804.12967443466,0.00855302810668945,297.28230381012,5506.83881759644,0,0,0,0,0,0,0,0,0,9999999999999,0,9999999999999,0,0,0,0,nan,10,10,0,20,-49,47,-30,47,0.0060927179395837,95.3955048506629,0.0558572160865371,82.5159077127389,0
miblp_20_20_50_0110_10_8,time limit exceeded,DC_FR,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7193.01018023491,71.015703201294,3.8613109588623,6690.29595637321,0.00931644439697266,34.0083396434784,902.288909435272,0.00850629806518555,0,0,243.672358036041,181.607030391693,0.0979573726654053,3314.02095270157,2014.58258605003,0,9999999999999,0,1.90237863648349,2006.33757948875,161.310690879822,54992,0,-763.325581395349,10,10,0,20,-49,46,-40,32,0.247345289653255,55.3455746700218,0.34082105898726,73.1188948067088,0
miblp_20_20_50_0110_10_8,time limit exceeded,DC+Scoop_min,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7175.85496878624,162.756270170212,5.65017628669739,6366.3428914547,0.00794839859008789,72.5466992855072,2404.91285443306,0.00714015960693359,181.227152347565,250.294543743134,363.006998538971,227.617517948151,0.0446062088012695,561.077551364899,2305.59987902641,0,9999999999999,0,0.79606019151828,2294.10862064362,248.814935207367,93816,0,-763.325581395349,10,10,0,20,-49,46,-40,32,0.247345289653255,55.3455746700218,0.34082105898726,73.1188948067088,0
miblp_20_20_50_0110_10_8,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7115.15973329544,730.392530202866,36.9151258468628,5728.87536740303,0.0084986686706543,332.118834257126,5396.74803447723,0,0,0,0,0,0,0,0,0,9999999999999,0,2.27607545663142,0,0,0,0,-763.325581395349,10,10,0,20,-49,46,-40,32,0.247345289653255,55.3455746700218,0.34082105898726,73.1188948067088,0
miblp_20_20_50_0110_10_9,-272,DC_FR,6453.21463632584,4761.81775927544,46683,8249,73,73,False,False,True,1120518,15298,0,6440.50558280945,100.085927248001,5.18735098838806,5919.09931468964,0.0188069343566895,45.8407351970673,418.817301511765,0.00785088539123535,0,0,234.415638923645,165.674567461014,0.0477759838104248,3228.80660963058,1825.470028162,0,6453.21463632584,0,0,1817.49286937714,126.095992326736,53358,0,-272,10,10,0,20,-37,46,-18,49,0.00564725861901682,84.2115198072018,0.271033168771,44.3103095304555,0
miblp_20_20_50_0110_10_9,-272,DC+Scoop_min,436.27323102951,297.868548631668,15860,337,0,0,False,False,True,124257,5167,0,432.77264380455,24.3513684272766,0.955294370651245,354.226915597916,0.00727391242980957,9.52623701095581,93.6112945079804,0.00647950172424316,23.3384172916412,25.0812563896179,23.2559139728546,12.0225760936737,0.0469791889190674,17.9569113254547,149.373576402664,0,436.27323102951,0,0,148.602637052536,10.1979546546936,5917,0,-272,10,10,0,20,-37,46,-18,49,0.00564725861901682,84.2115198072018,0.271033168771,44.3103095304555,0
miblp_20_20_50_0110_10_9,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7088.54135084152,938.856195688248,46.8589684963226,5314.21119332314,0.00856614112854004,417.950640678406,4896.2519865036,0,0,0,0,0,0,0,0,0,9999999999999,0,1.08900169204682,0,0,0,0,-411.533333333333,10,10,0,20,-37,46,-18,49,0.00564725861901682,84.2115198072018,0.271033168771,44.3103095304555,0
miblp_20_20_50_0110_15_1,time limit exceeded,DC_FR,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7168.93228530884,134.051600456238,3.04260945320129,6673.26815605164,0.00965523719787598,100.957114934921,2131.29404902458,0.00819110870361328,0,0,183.914568185806,117.480335235596,0.0778625011444092,2632.62657475471,1506.89980506897,0,9999999999999,0,9999999999999,1492.42877531052,111.508912086487,44268,0,nan,5,15,0,20,-49,34,-48,45,0.0140300505206856,122.130911409958,0.0371658732860731,99.0310404035619,0
miblp_20_20_50_0110_15_1,time limit exceeded,DC+Scoop_min,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7146.05328083038,209.973948717117,2.73298811912537,6454.08715867996,0.00963807106018066,148.76105427742,3139.02661538124,0.00828623771667481,422.171191930771,192.055108547211,226.683596849442,128.954344272614,0.0454299449920654,715.817578077316,1480.55431509018,0,9999999999999,0,1.39931741725764,1463.07746982574,137.183746337891,66199,0,-839.761096040315,5,15,0,20,-49,34,-48,45,0.0140300505206856,122.130911409958,0.0371658732860731,99.0310404035619,0
miblp_20_20_50_0110_15_1,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7154.96813154221,313.042966604233,15.9724969863892,6561.49632549286,0.0100531578063965,231.814823389053,6329.671448946,0,0,0,0,0,0,0,0,0,9999999999999,0,3.13675416768474,0,0,0,0,-839.761096040315,5,15,0,20,-49,34,-48,45,0.0140300505206856,122.130911409958,0.0371658732860731,99.0310404035619,0
miblp_20_20_50_0110_15_10,-98,DC_FR,223.799907207489,165.228459596634,957,347,4,4,False,False,True,37653,329,0,223.385598659515,2.95808434486389,0.114314794540405,206.090681552887,0.0109090805053711,2.19603323936462,10.6020092964172,0.00916600227355957,0,0,8.10511255264282,5.79885292053223,0.0582621097564697,114.572453975677,64.7378823757172,0,223.799907207489,0,0,64.1545860767365,5.58313846588135,1793,0,-98,5,15,0,20,-40,39,-34,49,0.226958069609522,128.641526400388,0.123512404453977,125.275557551614,0
miblp_20_20_50_0110_15_10,-98,DC+Scoop_min,20.9175562858582,15.0122544765472,383,47,0,0,False,False,True,5712,168,0,20.7491619586945,0.820708990097046,0.0164573192596436,17.9468176364899,0.00839424133300781,0.573529005050659,3.29276132583618,0.00675654411315918,1.59603095054626,0.76232123374939,1.02106213569641,0.574092626571655,0.0451726913452148,3.47352623939514,6.59317064285278,0,20.9175562858582,0,0,6.51802802085876,0.612726211547852,272,0,-98,5,15,0,20,-40,39,-34,49,0.226958069609522,128.641526400388,0.123512404453977,125.275557551614,0
miblp_20_20_50_0110_15_10,-98,INGC,1339.37463140488,1339.37463140488,66845,0,0,44531,False,False,True,0,0,0,1316.01999568939,185.525145292282,9.10959959030151,965.766089677811,0.00971007347106934,134.937558412552,830.818821191788,0,0,0,0,0,0,0,0,0,1339.37463140488,0,0,0,0,0,0,-98,5,15,0,20,-40,39,-34,49,0.226958069609522,128.641526400388,0.123512404453977,125.275557551614,0
miblp_20_20_50_0110_15_2,time limit exceeded,DC_FR,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7163.28823447228,106.549231290817,3.00220036506653,6681.49977254868,0.0101122856140137,76.4102680683136,1851.5244550705,0.00782132148742676,0,0,204.636297941208,140.533931016922,0.125898838043213,2809.48248076439,1598.7685072422,0,9999999999999,0,0.814397377085611,1583.7507584095,116.695625066757,47520,0,-858.209959361576,5,15,0,20,-40,49,-39,47,0.00139477100159107,130.309368301998,0.000884201751765967,132.016620093034,0
miblp_20_20_50_0110_15_2,time limit exceeded,DC+Scoop_min,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7072.93620467186,207.011788368225,2.06604528427124,6461.35636925697,0.00845575332641602,135.980899572372,4189.87328124046,0.00694608688354492,389.425004959106,170.424302101135,179.492517471313,96.2208871841431,0.0452046394348145,119.402575969696,1180.4762942791,0,9999999999999,0,0.697924457329823,1165.78544020653,99.1684598922729,53147,0,-857.45185095163,5,15,0,20,-40,49,-39,47,0.00139477100159107,130.309368301998,0.000884201751765967,132.016620093034,0
miblp_20_20_50_0110_15_2,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7023.58786892891,350.557972431183,17.0872631072998,6354.88482284546,0.00904488563537598,246.814205646515,6108.06157231331,0,0,0,0,0,0,0,0,0,9999999999999,0,9999999999999,0,0,0,0,nan,5,15,0,20,-40,49,-39,47,0.00139477100159107,130.309368301998,0.000884201751765967,132.016620093034,0
miblp_20_20_50_0110_15_3,time limit exceeded,DC_FR,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7104.97520780563,121.856177091599,1.66599750518799,6742.83238101006,0.0103695392608643,84.7705991268158,3821.65902519226,0.00845837593078613,0,0,117.193133354187,68.7546336650848,0.0478954315185547,1703.45325136185,946.93501496315,0,9999999999999,0,0.732300945651733,937.699065208435,64.7876086235046,28869,0,-715.440290554239,5,15,0,20,-48,48,-39,49,0.24820126999094,145.20674328507,0.174245445004487,172.821064439732,0
