name;objective value;method;solve_qp_relax;neighbour_node_pruning;smart_dc_verification;solve_cvp_globally;nodes;time;idealized_time;DCs;INGCs;Nr_total_CVPs;Nodes_pruned;Neighbour_nodes_pruned;cb_time;node_info_time;modify_cut_list_time;subproblems_time;ll_model_time;ll_modify_time;ll_solve_time;scoop_model_time;scoop_modify_time;scoop_solve_time;cgp_model_time;cgp_solve_time;cvp_model_time;cvp_modify_time;cvp_solve_time;NNP_time;rel_mip_gap;total_time_CVPs;idealized_time_CVPs;nr_refinements;best_upper_bound;nr_UL_vars;nr_LL_vars;nr_UL_cnstrs;nr_LL_cnstrs;min_UL_obj_coeff;max_UL_obj_coeff;min_LL_obj_coeff;max_LL_obj_coeff;Q_eig_min;Q_eig_max;P_eig_min;P_eig_max;nr_bf_sets_recycled
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;0.16690802574157715;0.16690802574157715;0;0;0;0;0;0;0.0015795230865478516;3.814697265625e-06;0.13072967529296875;0.016498804092407227;0.0012142658233642578;0.01005411148071289;0.014523506164550781;0.0027909278869628906;0.008507490158081055;0.009322643280029297;0.002718687057495117;0.06509923934936523;0;0;0;nan;0;0;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;0.16724061965942383;0.16724061965942383;0;0;0;0;0;0;0.002660036087036133;5.245208740234375e-06;0.13170790672302246;0.016837120056152344;0.00037598609924316406;0.009078264236450195;0.014739990234375;0.0034444332122802734;0.00947427749633789;0.008158683776855469;0.00276947021484375;0.06682968139648438;0;0;0;nan;0;0;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;0.17042112350463867;0.17042112350463867;0;0;0;0;0;0;0.0019452571868896484;4.76837158203125e-06;0.13519954681396484;0.01935720443725586;0.00028705596923828125;0.008487939834594727;0.015624284744262695;0.0030884742736816406;0.009135007858276367;0.010037660598754883;0.002660989761352539;0.06652092933654785;0;0;0;nan;0;0;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;0.14768266677856445;0.14768266677856445;0;0;0;0;0;0;0.002438068389892578;3.814697265625e-06;0.1166377067565918;0.017798185348510742;0.0002529621124267578;0.007086515426635742;0.016609907150268555;0.0026395320892333984;0.007330179214477539;0.0068814754486083984;0.0020933151245117188;0.055945634841918945;0;0;0;nan;0;0;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;0.18149161338806152;0.18149161338806152;0;0;1;0;0;0;0.0017852783203125;4.5299530029296875e-06;0.13743305206298828;0.016559362411499023;0.000301361083984375;0.007611989974975586;0.014742374420166016;0.002638578414916992;0.007445812225341797;0.008147716522216797;0.0025081634521484375;0.07533597946166992;0.002141714096069336;0;0;nan;0;0;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;3.0856921672821045;2.9762957096099854;1;0;108;0;0;2.923694372177124;0.004044532775878906;7.843971252441406e-05;2.1364941596984863;0.01666855812072754;0.0005555152893066406;0.017050504684448242;0.014872550964355469;0.006350278854370117;0.022180557250976562;0.7615139484405518;0.3347811698913574;0.06385946273803711;0.1274261474609375;0.771235466003418;0;nan;0.7535710334777832;0.6441745758056641;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;2.7332048416137695;2.6369497776031494;1;0;108;0;0;2.5585439205169678;0.0035970211029052734;0.00010609626770019531;1.8238964080810547;0.02055048942565918;0.0005354881286621094;0.015794038772583008;0.017804861068725586;0.005984783172607422;0.021552324295043945;0.602189302444458;0.3076193332672119;0.06893396377563477;0.11419892311096191;0.6487329006195068;0;nan;0.6330471038818359;0.5367920398712158;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;2.7751972675323486;2.6788108348846436;1;0;108;0;0;2.6113672256469727;0.003531217575073242;8.797645568847656e-05;1.8467464447021484;0.01769566535949707;0.0005218982696533203;0.01591205596923828;0.015764236450195312;0.0058994293212890625;0.02276897430419922;0.6106593608856201;0.3154866695404053;0.06728363037109375;0.1205899715423584;0.6541645526885986;0;nan;0.6379492282867432;0.5415627956390381;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;2.9149820804595947;2.8020334243774414;1;0;108;0;0;2.734226703643799;0.003549337387084961;9.179115295410156e-05;2.01759934425354;0.01927018165588379;0.0005025863647460938;0.015924692153930664;0.017337560653686523;0.005927562713623047;0.022316455841064453;0.7039568424224854;0.32240867614746094;0.0711359977722168;0.12065267562866211;0.7181661128997803;0;nan;0.7017381191253662;0.5887894630432129;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;Internal error: Second argument should be a list of Var;B+DC;False;False;False;True;0;2.8402416706085205;2.7208356857299805;1;0;108;0;0;2.6754660606384277;0.004443645477294922;8.940696716308594e-05;1.9385175704956055;0.017794370651245117;0.0004887580871582031;0.017498493194580078;0.0162811279296875;0.0068509578704833984;0.022283554077148438;0.6197431087493896;0.32271909713745117;0.060410261154174805;0.12156248092651367;0.7328853607177734;0;nan;0.7164897918701172;0.5970838069915771;0;nan;14;14;3;1;-1125.0;-22.0;0;0;0.7827153892566489;434.9349646253392;0.0;0.0;0
